                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4095,                 7.4164,                0.55126,                 2.5219,                 1.6982,                0.64244,                0.63788,                0.64768,                0.36094,                 0.0432,                0.03234,                 0.0102,                0.00165,                 1.4794,                 7.0934,                0.24324,                 2.4792,                 2.1156,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.2853,                  7.038,                0.46364,                 1.8707,                 1.6132,                0.67124,                0.63199,                0.64551,                0.36288,                 0.0461,                0.05157,                0.00327,                0.00041,                 1.5634,                 7.2704,                 0.3349,                 2.4185,                 2.2376,             0.00064369,             0.00064369,             0.00064369
                      3,                 1.3704,                 7.0902,                0.44489,                 1.7748,                 1.6476,                0.34149,                 0.6049,                0.43846,                0.19954,                0.06671,                0.05507,                0.02633,                0.00444,                  1.653,                 7.6224,                0.12008,                 4.7717,                 2.4035,             0.00096406,             0.00096406,             0.00096406
                      4,                 1.4322,                 7.0887,                0.44825,                 1.7475,                   1.72,                0.44217,                 0.5472,                0.42512,                0.16699,                0.06118,                0.04371,                0.01744,                0.00185,                  2.034,                 7.8932,                0.16868,                 3.5391,                 2.9796,              0.0012778,              0.0012778,              0.0012778
                      5,                 1.4316,                 7.1967,                0.44274,                  1.677,                 1.6761,                0.44921,                0.51224,                 0.3802,                0.15754,                 0.0083,                0.01136,                 0.0003,                  3e-05,                 1.9553,                 8.0245,                0.05785,                 3.1771,                 2.7784,               0.001585,               0.001585,               0.001585
                      6,                 1.4926,                 7.1989,                0.44976,                 1.6702,                 1.7099,                 0.3124,                0.31031,                0.22639,                0.07171,                      0,                      0,                      0,                      0,                 2.7822,                 8.9728,                0.19076,                 2.4973,                 3.7474,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4662,                 7.3964,                0.43564,                 1.6271,                 1.6955,                0.15131,                0.37675,                0.13609,                0.03918,                0.80605,                0.01136,                0.01253,                0.00126,                 2.3116,                 9.1717,                0.53263,                   3.15,                   2.96,               0.001568,               0.001568,               0.001568
                      8,                 1.4906,                 7.2625,                0.45178,                 1.7168,                 1.7599,                 0.5753,                0.55355,                0.56711,                0.25286,                  0.039,                0.03234,                0.00273,                0.00028,                 1.9221,                 8.1268,                0.04548,                 3.4068,                 3.1759,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5115,                 7.5612,                0.45263,                 1.6639,                 1.7613,                0.47218,                0.43507,                0.42483,                 0.1551,                0.05867,                0.05507,                0.00817,                0.00082,                 2.1837,                 7.9019,                0.09617,                 2.4015,                 3.1544,               0.001535,               0.001535,               0.001535
                     10,                 1.4692,                  7.177,                0.43112,                 1.6025,                 1.7417,                0.65953,                0.55769,                0.59625,                0.28698,                0.11115,                0.04545,                0.02054,                0.00277,                 1.8261,                 7.6041,                0.22065,                 2.1444,                 2.5355,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4834,                  7.343,                 0.4428,                  1.585,                 1.7255,                0.53323,                0.46066,                0.50039,                0.19012,                0.20524,                0.03234,                0.01695,                0.00233,                 2.0868,                 8.0079,                0.14879,                 2.0239,                 2.8122,               0.001502,               0.001502,               0.001502
                     12,                 1.4478,                 7.1706,                0.42261,                 1.5352,                 1.6958,                0.55084,                0.55944,                0.54044,                0.24704,                0.13636,                0.05682,                0.01895,                  0.002,                 1.9139,                 7.4934,                0.06928,                 2.0084,                 2.4893,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4055,                 6.9773,                0.41649,                 1.4844,                 1.6639,                0.61531,                 0.6537,                0.62211,                0.29515,                0.07844,                0.02273,                0.00805,                0.00106,                 1.8031,                 7.4682,                0.14866,                 1.8571,                 2.5186,               0.001469,               0.001469,               0.001469
                     14,                  1.398,                 7.1484,                0.43426,                 1.5148,                 1.6544,                0.54332,                0.60052,                0.54635,                0.27042,                0.07793,                0.02273,                0.00552,                 0.0006,                 1.7058,                 7.3535,                0.14233,                  1.832,                 2.2849,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4523,                 6.9195,                0.41815,                 1.4997,                  1.701,                0.68964,                0.68515,                0.70993,                0.32731,                0.13638,                0.05682,                0.02951,                0.00391,                 1.7359,                  7.541,                0.08726,                 1.5925,                 2.3606,               0.001436,               0.001436,               0.001436
                     16,                 1.4028,                 7.1278,                0.40376,                 1.4504,                 1.6311,                0.76057,                0.63414,                0.73034,                 0.3514,                0.22999,                0.12325,                0.05556,                0.00743,                 1.6794,                 6.9757,                0.15756,                 1.5184,                 2.2166,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3925,                 7.0656,                0.41223,                 1.4559,                 1.6523,                0.63091,                0.68706,                0.66823,                0.38203,                0.16333,                0.16871,                0.08305,                0.00986,                 1.4633,                 7.1224,                0.21492,                 1.5395,                 1.9386,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3464,                 6.7832,                0.39079,                 1.3714,                 1.6093,                0.67591,                0.72552,                0.70288,                0.39041,                0.10816,                0.07605,                0.03266,                0.00491,                 1.5731,                 7.0222,                0.22392,                 1.5529,                 2.1611,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3661,                 7.1201,                 0.4066,                 1.3445,                 1.6399,                0.74304,                0.69998,                0.73908,                0.40826,                0.11322,                0.06643,                0.02464,                0.00292,                 1.6077,                 7.0334,                0.20192,                 1.3136,                 2.0985,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3352,                 6.8973,                 0.3885,                 1.3528,                 1.6073,                0.66619,                0.73745,                   0.72,                0.32911,                 0.0539,                0.07605,                0.02167,                0.00221,                 1.7054,                 7.1525,                0.20389,                 1.6129,                 2.2259,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3514,                 6.9635,                0.41828,                 1.3226,                 1.6002,                0.70088,                0.67045,                 0.7317,                0.37744,                0.12713,                0.11189,                0.05257,                0.00565,                 1.6464,                 7.0281,                0.18773,                 1.4287,                 2.1884,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2688,                 6.7011,                0.39526,                 1.2579,                 1.5476,                0.69968,                0.62587,                0.72914,                0.34491,                0.15008,                0.11014,                0.05283,                0.00724,                 1.7333,                 6.8708,                0.18259,                 1.3135,                 2.2475,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2813,                 6.7408,                0.38225,                 1.2888,                 1.5612,                0.82611,                0.72465,                0.78809,                0.44475,                0.21847,                 0.2028,                0.12236,                0.01922,                    1.6,                 6.5996,                0.09532,                 1.1964,                 2.1004,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2436,                 6.7306,                0.39498,                 1.1751,                 1.5395,                0.82583,                0.67981,                0.77316,                0.41016,                0.20384,                0.13521,                0.06797,                0.01018,                 1.6264,                 6.8015,                0.15496,                 1.4115,                 2.2547,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2867,                 6.6559,                0.38541,                 1.2562,                 1.5539,                0.73168,                0.70574,                0.74293,                0.46013,                0.11588,                 0.0778,                0.02115,                0.00271,                 1.5566,                 7.4766,                0.13256,                    1.2,                 2.1173,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3283,                 6.5967,                0.36817,                 1.3009,                 1.5678,                0.71104,                0.70526,                0.79228,                0.44699,                0.09291,                0.06818,                0.02068,                 0.0028,                 1.5933,                 6.9383,                0.13806,                  1.273,                  2.119,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3214,                 6.5492,                0.39841,                 1.2618,                 1.5962,                 0.8178,                0.74213,                0.77622,                0.43078,                0.11576,                0.09247,                0.04388,                0.00535,                 1.6927,                 6.7018,                0.16312,                 1.2704,                 2.2477,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2411,                 6.5569,                0.38788,                 1.2009,                  1.541,                0.76649,                 0.7878,                0.81746,                 0.4704,                0.28395,                0.20847,                0.14091,                0.02749,                 1.5603,                 6.4359,                0.10996,                 1.1464,                 2.1396,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2726,                 6.5446,                0.37767,                 1.2393,                 1.5303,                0.61936,                0.71381,                0.70914,                0.37719,                0.18608,                0.11364,                0.05416,                0.00686,                 1.6895,                 6.8982,                0.22556,                 1.3294,                 2.2943,              0.0012049,              0.0012049,              0.0012049
                     30,                  1.234,                 6.6502,                0.38356,                 1.1733,                  1.512,                0.72213,                0.72918,                0.78431,                0.47148,                0.16269,                0.13636,                0.07062,                0.00912,                 1.5018,                 6.8327,                0.14419,                 1.1687,                 1.9674,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2567,                 6.4239,                0.39011,                 1.1957,                 1.5583,                0.83878,                0.68058,                0.81071,                0.47694,                0.31638,                0.22203,                0.14076,                0.02573,                 1.4978,                 6.6405,                0.15695,                 1.0906,                 2.0437,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2058,                 6.5742,                0.38338,                 1.1104,                 1.4897,                0.79323,                0.65143,                0.77835,                0.47175,                0.25415,                0.18969,                  0.126,                 0.0197,                 1.4649,                 6.5104,                0.09206,                 1.2208,                 1.9605,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.2064,                 6.5217,                 0.3537,                 1.1424,                 1.5084,                0.84863,                0.74165,                0.84203,                0.51513,                0.22968,                0.14423,                0.07389,                0.01289,                 1.3991,                 6.4378,                0.08756,                 1.0897,                 1.8783,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1886,                 6.2809,                0.34288,                 1.0737,                 1.4562,                0.82385,                0.73276,                0.83272,                 0.5073,                0.29274,                0.19755,                0.11319,                0.01682,                 1.4305,                 6.4382,                0.12121,                  1.103,                 1.9121,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1704,                 6.4574,                 0.3862,                 1.1172,                 1.4839,                0.78393,                0.80157,                0.85264,                0.45736,                0.22269,                0.11976,                0.06547,                0.01031,                  1.575,                 6.5557,                0.16323,                 1.0609,                 2.0608,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2046,                 6.3803,                0.36085,                 1.0922,                 1.5057,                0.77361,                0.77622,                0.81087,                0.44865,                0.36084,                0.15055,                0.12313,                0.01996,                  1.589,                 6.6524,                0.14674,                 1.2031,                 2.1551,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.138,                 6.3392,                0.36425,                 1.0634,                 1.4546,                0.82824,                0.68672,                  0.769,                0.46898,                0.23474,                0.18007,                0.11553,                0.02258,                 1.4219,                 6.4537,                0.14032,                 1.1633,                 1.9182,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2019,                 6.4253,                0.35607,                  1.143,                 1.4795,                 0.7883,                0.77906,                0.80255,                0.45975,                0.24018,                0.18794,                0.09111,                0.01865,                 1.4554,                 6.2955,                0.18435,                 1.1862,                 1.9914,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1985,                 6.1267,                0.36113,                 1.0998,                 1.4724,                0.76807,                0.71089,                0.75683,                0.41865,                0.19694,                0.16871,                0.09565,                0.01136,                 1.5399,                  6.556,                0.21962,                 1.3218,                 2.0157,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1916,                 6.1457,                0.34894,                 1.0926,                 1.4597,                0.76324,                0.75842,                0.80864,                 0.4438,                0.25541,                0.14773,                0.11074,                0.01773,                 1.5314,                 6.6098,                0.30535,                 1.1693,                 1.9909,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1622,                  6.234,                0.35533,                 1.0901,                 1.4716,                0.71144,                0.82088,                0.84509,                0.48491,                0.34906,                0.24126,                0.14564,                0.02596,                 1.4866,                 6.4474,                0.12625,                 1.0905,                 2.0419,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1535,                 5.9683,                0.34493,                 1.0469,                 1.4381,                0.89975,                0.75962,                0.86094,                 0.5065,                0.30417,                0.18619,                0.11766,                0.02384,                  1.457,                 6.3052,                0.08283,                 1.0519,                 1.9817,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1701,                 5.8947,                0.34982,                 1.0842,                  1.451,                0.84236,                0.70804,                0.82696,                0.49581,                0.33325,                 0.1958,                0.15189,                0.03269,                 1.4482,                  6.343,                0.11511,                 1.1435,                 1.9316,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1515,                 6.2178,                0.37216,                 1.0953,                 1.4726,                0.80809,                0.83372,                 0.8484,                0.51295,                0.38399,                0.33903,                0.28078,                0.05229,                 1.4281,                 6.1419,                0.09849,                 1.0505,                  1.961,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1859,                 6.0199,                0.35049,                 1.0835,                 1.4641,                0.80545,                0.74249,                0.83032,                0.49697,                0.37605,                0.27535,                0.19052,                0.03145,                   1.44,                 6.2666,                0.14761,                 1.0894,                 1.9559,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0909,                 6.1076,                0.34668,                 1.0428,                 1.4092,                0.79486,                0.76434,                0.85628,                0.50257,                0.34986,                0.26049,                0.18699,                0.02561,                 1.4863,                 6.3277,                0.12844,                 1.1185,                 1.9613,             0.00092435,             0.00092435,             0.00092435
